Term,CRN,Subj,Crse,Title,Campus,Enrollment,%Passing,A,B,C,P,D,F,NP,W,Other,ITV,TV,WEB,CLWEB,TVWEB
F07,42249,MTH,20,Basic Math,1,21,76.20%,7,7,2,0,1,0,1,3,0,0,0,0,0,0
F07,42250,MTH,20,Basic Math,1,34,70.60%,7,9,8,0,1,1,0,8,0,0,0,0,0,0
F07,42251,MTH,20,Basic Math,1,25,84.00%,10,7,4,0,0,3,0,1,0,0,0,0,0,0
F07,42252,MTH,20,Basic Math,1,33,81.80%,14,9,4,0,1,4,0,1,0,0,0,0,0,0
F07,42253,MTH,65,Introductory Algebra-2nd Term,1,24,75.00%,10,6,2,0,3,0,0,3,0,0,0,0,0,0
F07,42298,MTH,20,Basic Math,2,34,47.10%,4,7,5,0,2,12,0,4,0,0,0,0,0,0
F07,42299,MTH,20,Basic Math,2,39,61.50%,8,11,4,1,1,9,1,4,0,0,0,0,0,0
F07,42300,MTH,20,Basic Math,2,35,85.70%,16,7,5,2,1,0,2,2,0,0,0,0,0,0
F07,42301,MTH,95,Intermediate Algebra,2,32,78.10%,7,13,5,0,0,6,0,1,0,0,0,0,0,0
F07,42302,MTH,20,Basic Math,2,38,50.00%,7,7,5,0,1,2,7,9,0,0,0,0,0,0
F07,42303,MTH,20,Basic Math,2,37,78.40%,18,6,5,0,3,0,5,0,0,0,0,0,0,0
F07,42304,MTH,20,Basic Math,2,31,45.20%,9,4,1,0,6,0,8,3,0,0,0,0,0,0
F07,42310,MTH,20,Basic Math,3,35,57.10%,3,10,7,0,1,9,2,1,2,0,0,0,0,0
F07,42319,MTH,20,Basic Math,3,31,67.70%,8,4,9,0,4,3,0,3,0,0,0,0,0,0
F07,42320,MTH,20,Basic Math,3,22,90.90%,10,8,2,0,1,0,0,0,1,0,0,0,0,0
F07,42321,MTH,20,Basic Math,3,24,62.50%,6,7,2,0,2,5,0,0,2,0,0,0,0,0
F07,42322,MTH,20,Basic Math,3,29,65.50%,6,7,6,0,2,0,8,0,0,0,0,0,0,0
F07,42323,MTH,20,Basic Math,3,25,64.00%,5,7,4,0,0,3,2,4,0,0,0,0,0,0
